"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-05","10.74"," 1846"," 1842","0.17",,"31","35","27",,"   70","   60","19.9","25.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-06","16.11"," 1345"," 1345","0.03",,"21","27","14",,"   10","   10","25.9","36.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-07","6.26"," 2354"," 2359","0.00",,"17","27","6",,"  340","  360","13.0","16.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-08","7.61"," 2135"," 2106","0.00",,"13","26","-1",,"   90","   80","17.9","23.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-09","15.88"," 1200"," 1158","0.07",,"24","26","21",,"   70","   70","28.0","38.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-10","9.62"," 1121"," 1333","0.00",,"27","33","20",,"  360","  350","17.0","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-11","7.16"," 1657"," 1645","0.00",,"21","36","6",,"  350","  330","15.0","19.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-12","7.83"," 1555"," 1554","0.00",,"25","38","12",,"  360","  360","15.0","19.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-13","6.49"," 1204"," 0827","0.00",,"22","36","7",,"   40","   40","14.1","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-14","11.86"," 1708"," 1429","0.00",,"32","40","24",,"   10","   30","21.0","25.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-15","7.38"," 1604"," 0510","0.00",,"33","40","25",,"  270","  360","13.0","16.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-16","10.29"," 1115"," 1117","0.00",,"36","47","24",,"  220","  230","21.9","25.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-17","14.09"," 2304"," 2336","0.00",,"44","59","28",,"  260","  280","33.1","40.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-18","18.12"," 0247"," 0115","0.00",,"38","44","31",,"  270","  270","32.0","42.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-19","8.28"," 1207"," 1033","0.00",,"36","47","24",,"  320","  320","17.0","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-20","5.59"," 1439"," 1519","0.00",,"35","50","20",,"  190","  210","15.0","17.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-21","12.75"," 1108"," 0955","0.00",,"36","42","29",,"  280","  280","23.9","29.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-22","14.54"," 1339"," 1322","0.00",,"35","42","28",,"  290","  280","23.9","31.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-23","7.83"," 1439"," 1325","0.00",,"35","50","19",,"  240","  260","21.0","31.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-24","8.50"," 1324"," 1324","0.00",,"35","45","24",,"  330","  320","17.9","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-25","7.16"," 1744"," 0013","0.00",,"33","38","28",,"  360","  350","14.1","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-26","2.91"," 1818"," 1223","0.00",,"32","47","17",,"  150","   10","11.0","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-27","2.46"," 1342"," 1333","0.00",,"37","54","20",,"   70","   90","8.9","14.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-28","6.04"," 2345"," 2345","0.00",,"42","61","22",,"  290","  290","17.0","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-29","11.86"," 1545"," 1309","0.00",,"44","61","26",,"  270","  260","29.1","36.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-30","7.61"," 1459"," 1408","0.00",,"45","69","20",,"  250","  200","23.0","28.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-31","12.30"," 1702"," 1747","0.00",,"52","74","29",,"  210","  190","28.0","32.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-04-01","5.37"," 2355"," 2355","0.05",,"57","62","51",,"  200","  200","16.1","19.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-04-02","6.26"," 1330"," 1359","0.00",,"62","71","52",,"  190","  210","17.0","19.9",,,,,
